posts,companys,location,experience,description,links
python ,TATA Consultancy Services Ltd., India  , 5-8 years , Job Description TCS has been a great pioneer in feeding the fire of young techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together. What we are looking for Experience Range:5 to 10 y ,https://www.monsterindia.com/seeker/cjt/job-vacancy-python-tata-consultancy-services-ltd-india-5-8-years-35710461?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python ,TATA Consultancy Services Ltd., Delhi  , 4-6 years , Job Description Python Programming Panda Libraries Machine Learning Algorithms Text Analysis Desired Candidate Profile BACHELOR OF COMPUTER SCIENCE ,https://www.monsterindia.com/seeker/cjt/job-vacancy-python-tata-consultancy-services-ltd-delhi-4-6-years-35292873?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Developer ,TATA Consultancy Services Ltd., India  , 4-12 years , Job Description Job Title: Python Developer Location: Bangalore Hyderabad NCR Kochi Noida Bhubaneswar. Experience: 4 to 12 years What we are looking for: Must have: . Must have 5+ years of as python developer. . Hands on experience wi ,https://www.monsterindia.com/seeker/cjt/job-vacancy-python-developer-tata-consultancy-services-ltd-india-4-12-years-33686321?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Developer ,NTT Data, India  , 7-10 years , Req ID: 190597 NTT DATA Services strives to hire exceptional innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive adaptable and forward-thinking organization apply now. We are currently seeking a ,https://www.monsterindia.com/job/python-developer-ntt-data-india-6135509?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python L2 ,IRIS software, India  , Not Specified , Job Description Mandatory Skills: * Python with Django * Good database (any RDBMS tool) * Angular 2 and Above (should be willing to learn Angular if doesn't know already) * Willingness to work in L3 role to start with and later movement ,https://www.monsterindia.com/job/python-l2-iris-software-india-6767555?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python developer ,IRIS software, India  , Not Specified , Job Description Job Summary Role Based Competencies Tech - Requirement Management S/W Tech - NFR Tech - High level design Tech - Code quality and coding standards Beh - Result Orientation Tech - Code Reviews Tech - Build Management Tech - Unit ,//www.monsterindia.com/job/python-l2-iris-software-india-6767555?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Engineer ,DBS, Hyderabad / Secunderabad Telangana  , Not Specified , Responsibilities * Design and build from scratch for enterprise observability infrastructure * Create and maintain optimal data pipeline. * Assemble large complex data sets that meet functional / non-functional business requirements. * I ,https://www.monsterindia.com/job/python-developer-iris-software-india-6767554?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Developer ,Larsen & Toubro Infotech Limited, Chennai , 5-15 years , L&T Infotech is hiring for Python Developer in PAN India ,//www.monsterindia.com/job/python-developer-iris-software-india-6767554?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Backend Developer ,QuEST Global Engineering Services Private Limited, India  , 4-7 years , Job Description : Quest Global is an organization at the forefront of innovation and one of the world's fastest growing engineering services firms with deep domain knowledge and recognized expertise in the top OEMs across seven industries. We are a ,https://www.monsterindia.com/job/python-engineer-dbs-hyderabad-secunderabad-telangana-5881913?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Senior Python Developer ,JP Morgan Chase & Co., Bengaluru / Bangalore , 9-12 years , Job Description As a member of our Treasury & CIO Group we look forward for people who are passionate around solving business problems through innovation and best engineering practices. The candidate should have an in depth knowledge and expertise i ,https://www.monsterindia.com/job/python-developer-larsen-toubro-infotech-limited-chennai-6762326?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Developer ,Enigmasoft Technologies Private Limited, Goa , 2-4 years , Hiring for a Python Developer in Goa for a UK based company. ,https://www.monsterindia.com/job/python-backend-developer-quest-global-engineering-services-private-limited-india-6793887?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python developer ,ValueLabs LLP, Hyderabad / Secunderabad Telangana  , 4-6 years , . At least 3 years of experience in solving problems with Machine Learning in Python . Must have working experience with analyzing data and model performance . Strong understanding of classical machine learning and methods to handle sparse data . Exp ,https://www.monsterindia.com/job/senior-python-developer-jp-morgan-chase-co-bengaluru-bangalore-5556990?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
AWS Python Architect ,TATA Consultancy Services Ltd., Hyderabad / Secunderabad Telangana  , 10-13 years , Job Description Inviting applications for the role of AWS Python Architect Job Description : 10+ years of experience as AWS Architect. Experience in AWS platform using python as programing language. Built data warehouse infrastructure including Snow ,https://www.monsterindia.com/job/python-developer-enigmasoft-technologies-private-limited-goa-5631405?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python+ETL ,Aroha Technologies, Bengaluru / Bangalore , 4-6 years , Python+ETL. Aroha Technologies Bangalore. ,https://www.monsterindia.com/job/python-developer-valuelabs-llp-hyderabad-secunderabad-telangana-5944788?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Developer ,Freelancer ThirumalaSetty Gopi Krishna, Bengaluru / Bangalore  , Fresher , Python Developer ,https://www.monsterindia.com/seeker/cjt/job-vacancy-aws-python-architect-tata-consultancy-services-ltd-hyderabad-secunderabad-telangana-10-13-years-36015827?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python Developers python programming lanuguage ,Adecco India Private Limited, Gurgaon / Gurugram , 2-4 years , Job brief We are looking for a Python Developer to join our engineering team and help us develop and maintain various network based software ,https://www.monsterindia.com/job/python-etl-aroha-technologies-bengaluru-bangalore-6793080?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python QA Python Developer ,Proconnxt, Bengaluru / Bangalore  , 3-6 years , Urgent hiring for US based Client - MSYS Technologies ,https://www.monsterindia.com/job/python-developer-freelancer-thirumalasetty-gopi-krishna-bengaluru-bangalore-6792981?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Python FS Developer - Offshore ,QuEST Global Engineering Services Private Limited, India  , 5-8 years , Job Description : Experience and Eligibility: * Qualification: BE / B. Tech / MCA / ME / M. Tech/Master's degree in Computer science with 5+ years of Web application development experience as a Python full stake developer. * Expert Level Implem ,https://www.monsterindia.com/job/python-developers-python-programming-lanuguage-adecco-india-private-limited-gurgaon-gurugram-6775025?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
Software Engineering - Python Developer ,JP Morgan Chase & Co., Mumbai , Not Specified , Working with Data Scientists on a wide variety of projects to deploy data science models and provide software engineering expertise throughout the model development lifecycle. Using internal Data Science platform that leverage proprietary and open so ,https://www.monsterindia.com/job/python-qa-python-developer-proconnxt-bengaluru-bangalore-6762056?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
VP - Software Engineering - Python ,JP Morgan Chase & Co., Bengaluru / Bangalore , Not Specified , As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge an ,https://www.monsterindia.com/job/python-fs-developer-offshore-quest-global-engineering-services-private-limited-india-6793889?searchId=c00f3dba-9a28-4d6f-b9d4-adfe98040c0c
